Ensayo,Muestra-año,Exportador,CodigoVUCE (grupos),Cant muestras,Promedio de RESULTADO,Año,Mes
ACIDEZ (% ác. oleico),C0077-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.22,2023,enero
ACIDEZ (% ác. oleico),C0085-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.23,2023,enero
ACIDEZ (% ác. oleico),C0086-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.24,2023,enero
ACIDEZ (% ác. oleico),C0087-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,enero
ACIDEZ (% ác. oleico),C0088-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.24,2023,enero
ACIDEZ (% ác. oleico),C0091-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.38,2023,enero
ACIDEZ (% ác. oleico),C0092-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,enero
ACIDEZ (% ác. oleico),C0094-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,enero
ACIDEZ (% ác. oleico),C0095-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.22,2023,enero
ACIDEZ (% ác. oleico),C0105-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,enero
ACIDEZ (% ác. oleico),C0106-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.09,2023,enero
ACIDEZ (% ác. oleico),C0107-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.1,2023,enero
ACIDEZ (% ác. oleico),C0108-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.18,2023,enero
ACIDEZ (% ác. oleico),C0109-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,enero
ACIDEZ (% ác. oleico),C0110-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,enero
ACIDEZ (% ác. oleico),C0111-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.1,2023,enero
ACIDEZ (% ác. oleico),C0112-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.21,2023,enero
ACIDEZ (% ác. oleico),C0115-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.08,2023,enero
ACIDEZ (% ác. oleico),C0116-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.1,2023,enero
ACIDEZ (% ác. oleico),C0121-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.27,2023,enero
ACIDEZ (% ác. oleico),C0122-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.09,2023,enero
ACIDEZ (% ác. oleico),C0123-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.22,2023,enero
ACIDEZ (% ác. oleico),C0129-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.41,2023,enero
ACIDEZ (% ác. oleico),C0134-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.1,2023,enero
ACIDEZ (% ác. oleico),C0135-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,enero
